CompletionDate,StartedDate,BlackoutStart,BlackoutEnd,Status,CurrentTask,BlackoutTitle,Station,BlackoutType,StationId,ShowId,Stack,Correspondence,BPA,Sheet,Processor,ProcessingAuditor,ProcessingAuditFailure,IngestionAuditor,AuditCompleted,Configurator,CorrespondenceLink
2017-09-26 12:51:12.267,2017-09-23 13:31:49.683,null,null,COMPLETED,Station or Show in Hades?(userTask5),null,null,OTT,STV48plTZZOzY=,SHI0Qv_q9Q8Gw=,null,null,[Link](https://appdash.corp.google.com/dash/d/sc-92011-ytv-blackout-operatio#a=1&p=workflow-instance&process-instance-key=%7B%221%22:%22projects/sc-92011-ytv-blackout-operatio/processes/prod92811/processDefinitions/1/processInstances/9XWFoAAAAAA%3D%22%7D),null,alynn@google.com,null,null,alynn@google.com,,gouellet@google.com,null
2017-09-26 12:51:12.267,2017-09-23 13:31:49.683,null,null,COMPLETED,Audit Blackout (userTask4),null,null,OTT,STV48plTZZOzY=,SHI0Qv_q9Q8Gw=,null,null,[Link](https://appdash.corp.google.com/dash/d/sc-92011-ytv-blackout-operatio#a=1&p=workflow-instance&process-instance-key=%7B%221%22:%22projects/sc-92011-ytv-blackout-operatio/processes/prod92811/processDefinitions/1/processInstances/9XWFoAAAAAA%3D%22%7D),null,alynn@google.com,null,null,alynn@google.com,,gouellet@google.com,null
2017-09-26 12:51:12.267,2017-09-23 13:31:49.683,null,null,COMPLETED,Add to GCL/Fill Gap (userTask2),null,null,OTT,STV48plTZZOzY=,SHI0Qv_q9Q8Gw=,null,null,[Link](https://appdash.corp.google.com/dash/d/sc-92011-ytv-blackout-operatio#a=1&p=workflow-instance&process-instance-key=%7B%221%22:%22projects/sc-92011-ytv-blackout-operatio/processes/prod92811/processDefinitions/1/processInstances/9XWFoAAAAAA%3D%22%7D),null,alynn@google.com,null,null,alynn@google.com,,gouellet@google.com,null
2017-09-26 12:51:12.267,2017-09-23 13:31:49.683,null,null,COMPLETED,Verify Qualification(userTask6),null,null,OTT,STV48plTZZOzY=,SHI0Qv_q9Q8Gw=,null,null,[Link](https://appdash.corp.google.com/dash/d/sc-92011-ytv-blackout-operatio#a=1&p=workflow-instance&process-instance-key=%7B%221%22:%22projects/sc-92011-ytv-blackout-operatio/processes/prod92811/processDefinitions/1/processInstances/9XWFoAAAAAA%3D%22%7D),null,alynn@google.com,null,null,alynn@google.com,,gouellet@google.com,null
2017-09-26 12:51:12.267,2017-09-23 13:31:49.683,null,null,COMPLETED,Email Configurators (emailTask1),null,null,OTT,STV48plTZZOzY=,SHI0Qv_q9Q8Gw=,null,null,[Link](https://appdash.corp.google.com/dash/d/sc-92011-ytv-blackout-operatio#a=1&p=workflow-instance&process-instance-key=%7B%221%22:%22projects/sc-92011-ytv-blackout-operatio/processes/prod92811/processDefinitions/1/processInstances/9XWFoAAAAAA%3D%22%7D),null,alynn@google.com,null,null,alynn@google.com,,gouellet@google.com,null
2017-09-26 12:51:12.267,2017-09-23 13:31:49.683,null,null,COMPLETED,Define Configuration for Rule (userTask1),null,null,OTT,STV48plTZZOzY=,SHI0Qv_q9Q8Gw=,null,null,[Link](https://appdash.corp.google.com/dash/d/sc-92011-ytv-blackout-operatio#a=1&p=workflow-instance&process-instance-key=%7B%221%22:%22projects/sc-92011-ytv-blackout-operatio/processes/prod92811/processDefinitions/1/processInstances/9XWFoAAAAAA%3D%22%7D),null,alynn@google.com,null,null,alynn@google.com,,gouellet@google.com,null
2017-09-26 12:52:31.787,2017-09-23 13:34:35.267,null,null,COMPLETED,Station or Show in Hades?(userTask5),null,null,OTT,STV48plTZZOzY=,SH5JiiVxWWiZ0=,null,null,[Link](https://appdash.corp.google.com/dash/d/sc-92011-ytv-blackout-operatio#a=1&p=workflow-instance&process-instance-key=%7B%221%22:%22projects/sc-92011-ytv-blackout-operatio/processes/prod92811/processDefinitions/1/processInstances/DUkloAAAAAA%3D%22%7D),null,alynn@google.com,null,null,alynn@google.com,,gouellet@google.com,null
2017-09-26 12:52:31.787,2017-09-23 13:34:35.267,null,null,COMPLETED,Verify Qualification(userTask6),null,null,OTT,STV48plTZZOzY=,SH5JiiVxWWiZ0=,null,null,[Link](https://appdash.corp.google.com/dash/d/sc-92011-ytv-blackout-operatio#a=1&p=workflow-instance&process-instance-key=%7B%221%22:%22projects/sc-92011-ytv-blackout-operatio/processes/prod92811/processDefinitions/1/processInstances/DUkloAAAAAA%3D%22%7D),null,alynn@google.com,null,null,alynn@google.com,,gouellet@google.com,null
2017-09-26 12:52:31.787,2017-09-23 13:34:35.267,null,null,COMPLETED,Add to GCL/Fill Gap (userTask2),null,null,OTT,STV48plTZZOzY=,SH5JiiVxWWiZ0=,null,null,[Link](https://appdash.corp.google.com/dash/d/sc-92011-ytv-blackout-operatio#a=1&p=workflow-instance&process-instance-key=%7B%221%22:%22projects/sc-92011-ytv-blackout-operatio/processes/prod92811/processDefinitions/1/processInstances/DUkloAAAAAA%3D%22%7D),null,alynn@google.com,null,null,alynn@google.com,,gouellet@google.com,null
2017-09-26 12:52:31.787,2017-09-23 13:34:35.267,null,null,COMPLETED,Audit Blackout (userTask4),null,null,OTT,STV48plTZZOzY=,SH5JiiVxWWiZ0=,null,null,[Link](https://appdash.corp.google.com/dash/d/sc-92011-ytv-blackout-operatio#a=1&p=workflow-instance&process-instance-key=%7B%221%22:%22projects/sc-92011-ytv-blackout-operatio/processes/prod92811/processDefinitions/1/processInstances/DUkloAAAAAA%3D%22%7D),null,alynn@google.com,null,null,alynn@google.com,,gouellet@google.com,null
2017-09-26 12:52:31.787,2017-09-23 13:34:35.267,null,null,COMPLETED,Email Configurators (emailTask1),null,null,OTT,STV48plTZZOzY=,SH5JiiVxWWiZ0=,null,null,[Link](https://appdash.corp.google.com/dash/d/sc-92011-ytv-blackout-operatio#a=1&p=workflow-instance&process-instance-key=%7B%221%22:%22projects/sc-92011-ytv-blackout-operatio/processes/prod92811/processDefinitions/1/processInstances/DUkloAAAAAA%3D%22%7D),null,alynn@google.com,null,null,alynn@google.com,,gouellet@google.com,null
2017-09-26 12:52:31.787,2017-09-23 13:34:35.267,null,null,COMPLETED,Define Configuration for Rule (userTask1),null,null,OTT,STV48plTZZOzY=,SH5JiiVxWWiZ0=,null,null,[Link](https://appdash.corp.google.com/dash/d/sc-92011-ytv-blackout-operatio#a=1&p=workflow-instance&process-instance-key=%7B%221%22:%22projects/sc-92011-ytv-blackout-operatio/processes/prod92811/processDefinitions/1/processInstances/DUkloAAAAAA%3D%22%7D),null,alynn@google.com,null,null,alynn@google.com,,gouellet@google.com,null
2017-09-28 10:27:37.113,2017-09-22 14:02:14.584,null,null,COMPLETED,Station or Show in Hades?(userTask5),null,null,OTT,STtmM8VK_ZU7A=,SH8KiUbZfmbl0=,null,null,[Link](https://appdash.corp.google.com/dash/d/sc-92011-ytv-blackout-operatio#a=1&p=workflow-instance&process-instance-key=%7B%221%22:%22projects/sc-92011-ytv-blackout-operatio/processes/prod92811/processDefinitions/1/processInstances/iuPpoAAAAAA%3D%22%7D),null,alynn@google.com,null,null,alynn@google.com,,gouellet@google.com,null
2017-09-28 10:27:37.113,2017-09-22 14:02:14.584,null,null,COMPLETED,Audit Blackout (userTask4),null,null,OTT,STtmM8VK_ZU7A=,SH8KiUbZfmbl0=,null,null,[Link](https://appdash.corp.google.com/dash/d/sc-92011-ytv-blackout-operatio#a=1&p=workflow-instance&process-instance-key=%7B%221%22:%22projects/sc-92011-ytv-blackout-operatio/processes/prod92811/processDefinitions/1/processInstances/iuPpoAAAAAA%3D%22%7D),null,alynn@google.com,null,null,alynn@google.com,,gouellet@google.com,null
2017-09-28 10:27:37.113,2017-09-22 14:02:14.584,null,null,COMPLETED,Verify Qualification(userTask6),null,null,OTT,STtmM8VK_ZU7A=,SH8KiUbZfmbl0=,null,null,[Link](https://appdash.corp.google.com/dash/d/sc-92011-ytv-blackout-operatio#a=1&p=workflow-instance&process-instance-key=%7B%221%22:%22projects/sc-92011-ytv-blackout-operatio/processes/prod92811/processDefinitions/1/processInstances/iuPpoAAAAAA%3D%22%7D),null,alynn@google.com,null,null,alynn@google.com,,gouellet@google.com,null
2017-09-28 10:27:37.113,2017-09-22 14:02:14.584,null,null,COMPLETED,Add to GCL/Fill Gap (userTask2),null,null,OTT,STtmM8VK_ZU7A=,SH8KiUbZfmbl0=,null,null,[Link](https://appdash.corp.google.com/dash/d/sc-92011-ytv-blackout-operatio#a=1&p=workflow-instance&process-instance-key=%7B%221%22:%22projects/sc-92011-ytv-blackout-operatio/processes/prod92811/processDefinitions/1/processInstances/iuPpoAAAAAA%3D%22%7D),null,alynn@google.com,null,null,alynn@google.com,,gouellet@google.com,null
2017-09-28 10:27:37.113,2017-09-22 14:02:14.584,null,null,COMPLETED,Email Configurators (emailTask1),null,null,OTT,STtmM8VK_ZU7A=,SH8KiUbZfmbl0=,null,null,[Link](https://appdash.corp.google.com/dash/d/sc-92011-ytv-blackout-operatio#a=1&p=workflow-instance&process-instance-key=%7B%221%22:%22projects/sc-92011-ytv-blackout-operatio/processes/prod92811/processDefinitions/1/processInstances/iuPpoAAAAAA%3D%22%7D),null,alynn@google.com,null,null,alynn@google.com,,gouellet@google.com,null
2017-09-28 10:27:37.113,2017-09-22 14:02:14.584,null,null,COMPLETED,Define Configuration for Rule (userTask1),null,null,OTT,STtmM8VK_ZU7A=,SH8KiUbZfmbl0=,null,null,[Link](https://appdash.corp.google.com/dash/d/sc-92011-ytv-blackout-operatio#a=1&p=workflow-instance&process-instance-key=%7B%221%22:%22projects/sc-92011-ytv-blackout-operatio/processes/prod92811/processDefinitions/1/processInstances/iuPpoAAAAAA%3D%22%7D),null,alynn@google.com,null,null,alynn@google.com,,gouellet@google.com,null
2017-09-29 15:04:30.979,2017-09-23 16:07:48.554,null,null,COMPLETED,Station or Show in Hades?(userTask5),null,null,OTT,STstBkB3Fw-jw=,SHliWX6IvzLqU=,null,null,[Link](https://appdash.corp.google.com/dash/d/sc-92011-ytv-blackout-operatio#a=1&p=workflow-instance&process-instance-key=%7B%221%22:%22projects/sc-92011-ytv-blackout-operatio/processes/prod92811/processDefinitions/1/processInstances/UvFFoAAAAAA%3D%22%7D),null,alynn@google.com,null,null,alynn@google.com,,gouellet@google.com,null
2017-09-29 15:04:30.979,2017-09-23 16:07:48.554,null,null,COMPLETED,Define Configuration for Rule (userTask1),null,null,OTT,STstBkB3Fw-jw=,SHliWX6IvzLqU=,null,null,[Link](https://appdash.corp.google.com/dash/d/sc-92011-ytv-blackout-operatio#a=1&p=workflow-instance&process-instance-key=%7B%221%22:%22projects/sc-92011-ytv-blackout-operatio/processes/prod92811/processDefinitions/1/processInstances/UvFFoAAAAAA%3D%22%7D),null,alynn@google.com,null,null,alynn@google.com,,gouellet@google.com,null
2017-09-29 15:04:30.979,2017-09-23 16:07:48.554,null,null,COMPLETED,Verify Qualification(userTask6),null,null,OTT,STstBkB3Fw-jw=,SHliWX6IvzLqU=,null,null,[Link](https://appdash.corp.google.com/dash/d/sc-92011-ytv-blackout-operatio#a=1&p=workflow-instance&process-instance-key=%7B%221%22:%22projects/sc-92011-ytv-blackout-operatio/processes/prod92811/processDefinitions/1/processInstances/UvFFoAAAAAA%3D%22%7D),null,alynn@google.com,null,null,alynn@google.com,,gouellet@google.com,null
